Duration (in seconds),ResponseId,UserExp-AF,Request-AF,UserExp-PP,Request-PP,UserExp-AM,Request-AM,UserExp-AL,Request-AL,State,Law-Awareness,AttEnact-Disc,EnactExplain-Disc,ChangesExplain-Disc,AttEnact-Exp,EnactExplain-Exp,ChangesExplain-Exp,AttEnact-Req,EnactExplain-Req,ChangesExplain-Req,Age,Gender,Gender_5_TEXT,Ethnicity,Race,Race_6_TEXT,Education,Education_4_TEXT,PROLIFIC_PID,STUDY_ID,SESSION_ID,AppCategory,AppName
442,R_5nBkCOfv8wegU68,2,"4,5,6",1,"5,6,7",1,"5,6",1,"5,6",GA,"5,32",3,Doesn't really matter; this type of matter is impossible to truly track. Anything can be made to be what people want it to be when it comes to this type of thing. ,Creating a viable and easy to use/compile data report to send that meets the needs of said regulations.,4,Too many loopholes and lawsuits created just by creating something like this.,Make a report that shows results from complying with such said regulations.,4,This more so goes in line with what customers want; at this point it is solely up to a company to adhere to it.,Reports.,3,1,,2,2,,5,,676304145bbe20d1fd5d653c,6806e80aa09de22ad716aebf,6806ea2aee202f39e278c27a,food and drink,DoorDash
437,R_6KxwTvRzHljDVMM,2,7,2,5,2,7,2,1,Illinois,,2,as long as they disclose that they are collecting personal data and what it will be used for,i dont know,4,you have to be more specific or companies will find loopholes to exploit,i dont know,2,it was requested so it's expected by the consumer,n/a,4,2,,2,1,,2,,677efcfde2638f8dfcc1741b,6806e80aa09de22ad716aebf,6806ea4632d605a165f7580e,shopping,Walmart
360,R_5pW4gWegBlF69Dh,1,"2,3,4,5,7",4,7,5,7,3,7,Georgia,,1,Consumers have a right to know what is being collected and why.,they'll need to create plain language disclosures,1,"Companies do not need tons of date to operate a functioning app, they gather info to make themselves more money and sell info","Allow consumers to opt out, and change how much info is collected",1,Companies should not invade privacy,Eliminate some of the data collection they've aleady enacted,5,2,,2,1,,1,,64836981f87b85ab4b89dcf1,6806e80aa09de22ad716aebf,6806ea9c41341155471aeb1d,shopping,Walmart
371,R_12O9bAh1QgYhMxr,1,"1,2,3,4,5,6,7",1,"5,6,7",1,"5,6,7",1,"1,2,3,4,5,6,7",NC,"6,7,8,9,14,15,17,26,27,29,30,37,39,42,43,44,46",1,to protect privacy,I do not know,1,to protect privacy,I do not  know,1,to protect privacy,I don't know,5,2,,2,1,,2,,5e9f3f09ccc75a0c345e4845,6806e80aa09de22ad716aebf,6806ea8d5582768268e3813b,game,Roblox
459,R_7UuEw9SXHO8s3bX,3,"1,6",3,"5,6",3,"3,4,5",3,"3,4,6",Massachusetts ,21,3,I'm not sure how beneficial this type of regulation would be,The app would need to inform the user of this type of data collection,3,I am not sure how beneficial or effective this type of regulation would be.,The app would likely need to inform users,3,I am not sure how beneficial this type of regulation would be.,The output likely need to inform and verify with users about the data collection.,3,1,,2,1,,2,,67606caee59f6f7312f6277f,6806e80aa09de22ad716aebf,6806ea41eae498defa6755ed,food and drink,DoorDash
422,R_3Td3M5UMjd9yDGF,4,1,2,"1,2,3,4,5,6,7,8",5,"2,6,7",3,"2,6,7",New York,,2,"If its being disclosed, I think its fair",Making sure they outline their purpose for the user to see,4,"I think it depends on what they consider would reasonably be expected. Thats a bit vague of language, so I feel like they could get away with a lot with it.",I think they would have to concretely define what falls under the umbrella of reasonable. They'd really have to understand what is actually reasonable for the customer to expect,2,"If the consumer is requesting it, it makes sense that it should be used",Make sure that all data being used aligns with what the app is actually being used for,1,2,,2,1,,1,,66c8b6920f9979129bd70313,6806e80aa09de22ad716aebf,6806ea6b723a7b585be6a245,food and drink,DoorDash
336,R_7TzWBrylJPVw98D,1,"2,3,5,6",1,"2,5,6,7",3,1,2,"1,5,6",Alabama,,3,.,Not sure.,2,.,Not sure,3,I'm good with whatever they do.,Not sure.,3,2,,2,1,,3,,67226a0e299bf61d2c6530c4,6806e80aa09de22ad716aebf,6806eac2cdd132153fd732d0,shopping,Walmart
486,R_7IlXLrgjhnHguM3,1,"3,4,5,6,7",2,"1,2,4,5,6,7",4,"5,6,7",2,"5,6,7",tx,,1,It should be regulated to make sure that companies are clearly communicating what data is being collected. ,"App developers need to have information regarding the data that is being collected, and they need to make sure the information is somehow incorporated in the apps startup. ",1,The amount of data being collected needs to be regulated since companies could abuse this by collecting more data than is necessary. ,"They need to communicate to the government what data is being collected, and they need to regularly monitor that they are only collecting absolutely necessary data. ",1,This could be abused by companies that use this to collect more information than necessary.,App developers need to determine the minimum amount of data needed to provide the user with a certain service. ,1,2,,2,"1,2",,3,,6640be7edc706d4622dbab1c,6806e80aa09de22ad716aebf,6806ea2fae7146565fce216e,game,Roblox
472,R_7PDrmmMuKaZrsZz,2,"2,5,7",3,"5,6,7",2,"3,5,8",2,"3,5",Tennessee ,"5,32",5,They may tell the consumer one thing and do another.,Unsure,2,I agree there should be a limit to the collection of data that is necessary,Unsure,3,Neutral,Unsure,3,2,,2,2,,2,,65e375588229327640a29ad9,6806e80aa09de22ad716aebf,6806ea3ea6bf404aa8a85e2c,finance,Venmo
526,R_32Eu9OPkBtcc5I4,2,"5,6,7",2,"5,6,7",2,"5,6,7",1,"5,6,7",south carolina,"2,3,9,42,43",2,If it is disclosed to the consumer and the consumer has the option to opt out it is ok,the option to opt out has to be in place,4,This leaves room for interpretation which is dangerous for the user,"first you have to determine what ""reasonably expect"" means.  this statement needs to be defined so that developers can comply with it",3,If the user agrees to this then this is ok,they need to create a prompt explaining this to the user and then giving them the option to agree or disagree,4,2,,2,1,,5,,67a391d2ec188c0684a9c2a5,6806e80aa09de22ad716aebf,6806ea0a98219a02e0da1600,shopping,Walmart
509,R_3TMBku0LjHAq1Vq,5,"1,2",1,3,1,"2,5",1,"5,7",WA,5,2,I don't want them to have more data on consumers.,"Opt-out options, set them on as default ",2,I don't want them to have more info of consumers.,Have opt-in options but would always have set to default.,2,I don't want them to have more data on consumers.,Opt-out option,2,2,,1,1,,2,,5e5ddb1b965c850f8e8c5ed5,6806e80aa09de22ad716aebf,6806ea206e44be00d0fb38bb,photo and video,YouTube
482,R_3QD7aqQZzr4urkt,3,"2,3,4,5,6,7",2,"2,4,6,7",1,"1,2,3,4,5,6,7",2,"2,3",Virginia,,1,i feel like the amount of data companies use is not entirely relevant and seems invasive,just being more transparent without the crazy pages of text that no one reads,2,i believe most of us know the basics of what data is gathered when we use apps and have accounts on them,i'm not sure,2,i think to develop algorithms and have recommendations to make apps more interesting and personalized would make this a good idea,i'm unsure,2,1,,2,1,,3,,677dfd298381986aa7da26d3,6806e80aa09de22ad716aebf,6806ea298a3f1a740fc2a8fc,photo and video,YouTube
277,R_51uDZE5h4TIbCRN,1,"1,2,3,5,6,7",2,"1,3,4,5",2,7,2,"1,2,3,5,6,7",Michigan,,2,People should know what data is collected and why.,"Reduce the data collected, provide notification 
",2,Excessive data collection can compromise user security. ,Reduce the data collected ,2,It's best that data collected is only that which is needed for functionality. ,Reduce data collected. ,5,2,,2,1,,2,,5e8dd293b7dd310583dd2b41,6806e80aa09de22ad716aebf,6806eb114c7a80ea12a65157,game,Roblox
523,R_3HpNjVMU70tDShM,1,"1,5",1,5,1,5,1,5,Iowa,13,1,"I do not think that companies should just be able to use a customers data to do whatever they want with, as this is a breach of privacy.",Pick which ways would help their app grow the most.,1,companies should have limits put on to them so that they cannot use personal data by selling it or comprising the consumers privacy.,they will have to pick and choose which data options to help with optimizing their app.,1,to help pinpoint what products a consumer would want.,nothing.,3,1,,2,1,,5,,62c63362e7342ad8be294866,6806e80aa09de22ad716aebf,6806ea1b09d8f90c73ad86f4,food and drink,DoorDash
511,R_1jsqaz4uRFRwhEJ,1,"1,2,4",4,"4,6",2,"2,3,7",2,"2,7",Nebraska ,"5,37,47",1,I don't trust companies to have my best interest in mind when it comes to my information ,More options for users to control what information is disclosed.,4,It is vague. It needs to be better defined,I'm not sure. The guidelines are too lax,1,Companies need to explain in simpler terms what information they need.,Better descriptions of the information needed ,4,1,,2,1,,2,,67cf0197f22f7a9c183a327d,6806e80aa09de22ad716aebf,6806ea298e9bb320c143114b,food and drink,DoorDash
656,R_6c87tl6Ny4Bo7Sk,1,"1,5",2,"1,5",2,"1,3,5",1,"1,5",wisconsin,"5,21,22,30,32,44,46,49",3,im neutral,no changes,5,it should let companies see what the consumers like,stricker limits on what they can do with the app,4,so that companies can help the comsumer more,no changes,3,1,,2,1,,5,,676d3cd4b42692059da2aed5,6806e80aa09de22ad716aebf,6806e99860fb53ad5d3af32a,shopping,Walmart
689,R_5PZyCtBPzUHzvvY,2,"1,2,3,4,5,6,7",2,"1,2,3,4,5,6,7",2,"1,2,3,4,5,6,7",2,"1,2,3,4,5,6,7",Michigan,,1,"This regulation prioritizes transparency and consumer control. By limiting data collection to purposes explicitly disclosed, it empowers individuals to make informed decisions about their data and fosters trust in data handling practices.",App developers would need to be very clear and specific in their privacy policies about what data they collect and why. They would need to avoid vague or overly broad data collection practices and ensure that the data they gather directly relates to the services they provide and the purposes they have communicated to the user,5,"Determining what consumers ""would reasonably expect"" is subjective and open to interpretation, potentially leading to inconsistent application and enforcement","App developers would face uncertainty in defining reasonable expectations. They might need to conduct extensive user research to gauge expectations, potentially leading to varied and complex data collection practices based on perceived expectations rather than clear, objective criteria.",1,"This regulation directly links data collection to the services requested by the user, ensuring necessity and proportionality.",pp developers would need to limit data collection strictly to what is required to deliver the specific features and services requested by the user,5,2,,2,1,,1,,67de62c7d8b51486616121d2,6806e80aa09de22ad716aebf,6806e976baf1fbd2d662976a,food and drink,DoorDash
495,R_7q32C2wQRH7Boz0,2,"1,2,3,4,5,6,7",1,"1,2,3,4,5,6,7",1,"2,6,7",2,"2,3,5",Illinois,"5,13,32",1,"The company should only be using data for non-nefarious purposes with consumer protection, safety, and visibility in mind.","They just need to be open and honest about all facets of their product, making this information easily accessible without having to search high and low for it.",1,"Customers expect to feel safe and secure whenever using products like this, so minimization as described above would be really good.","They could make changes after polling consumers, again, by keeping the product safe and secure and keeping the customer base in the loop at all times.",1,"I don't want the data collection to put the end user at risk in any way, or have them give up too many of their rights that they probably have come to expect while using the service.","Increased pop-up notifications that increase transparency, shorter and easier to read user agreements, and easy to find information on this subject and the company's stance on the matter.",3,1,,2,1,,2,,5dd3e3cd5daaa63c5fdb7bb8,6806e80aa09de22ad716aebf,6806ea403a7b249b9bf3822b,food and drink,DoorDash
607,R_62WBeJyHHDVvKW4,1,"1,2,3,4,5,6,7",1,"3,4,5,7",2,"3,6,7",1,"1,2,3,4,5,6,7",Mississippi,"5,7,29,32,43,45",1,Because it makes sense to let us know ahead of time so we can choose to continue using their apps or not. Seems like common sense this one does,"Reveal what they actually do with data and how they collect it. Not that they wont change wording to make it sound less intrusive than it is but still, a good start",1,I think its unfair yes to collect data we dont know about and have no idea what its used for so I agree with making it a law,Stop farming our data to sell? Stop other shady cambridge data scandal style scenarios?,1,"This makes sense too. If the app is a money app with trading and bitcoin like my cashapp has, then it makes sense to try and understand the users needs to make the services work for the user.","Not sure about this one, this seemed more like a personalized UI thing or personalized services to me but maybe there are other ways I'm not thinking of with this one.",4,1,,2,1,,6,,660b421b30655418bdac1c70,6806e80aa09de22ad716aebf,6806e9cbcae4cf04e17c9c00,finance,Venmo
525,R_3D7JlWOrFBgnvOz,1,"1,3,4",5,"1,3,5",5,"1,2,4",5,"3,5,6",Delaware,,5,Will not give any info out,Will not use,5,Do not like putting info on any apps ,None will not use,5,Will not put info on apps ,Will not use,4,1,,2,1,,3,,67e0a1a0f697d75087b7050d,6806e80aa09de22ad716aebf,6806ea2713e73af1e7432610,food and drink,DoorDash
529,R_8gUQgVL2OPS6yfc,1,"1,3,4,6,7",1,"1,3,4,7",1,"3,4,7",2,"2,3",Mississippi,"24,47,49,50",2,"This means customers know which data has been collected from them. This will make them to make a choice on whether to accept or not, giving room for consumer participation.",Make room for consumer participation in the app.,2,This makes the consumers to have a big trust to the company.,Comply with consumers to make decision on what data they are comfortable with being collected.,1,This simply makes the customer secure since all their data won't be collected.,Customize their app on what type of data to collect depending on which product the customer bought.,2,1,,2,2,,2,,67eeb2ce43b7c62222301bc8,6806e80aa09de22ad716aebf,6806ea22660e6db710d12fd3,finance,Venmo
521,R_3n7Np6VOykIuFwN,3,"1,2,5,7",2,"3,5,6,7",2,"1,2,5,6",2,"2,6",Utah,,2,I believe that it should be made clear  what extent they gather PII,Not sure,2,It should be to the person's expectations ,None,2,They should only record what is absolutely necessary,I am not sure what steps could be taken,4,2,,2,1,,5,,5ef6308c40846d2dfca0b66a,6806e80aa09de22ad716aebf,6806ea44c821035f690d9dc6,photo and video,YouTube
